"country","Year","Age","ex","Sex","edagg_1","edagg_2","edagg_3","edagg_4","edagg_5","H_1","H_2","H_3","H_4","H_5","gain_1","gain_2","gain_3","gain_4","gain_5","span_1","span_2","span_3","span_4","span_5"
"Australia",1921,0,63.18,"Women",18.22,7.32,4.6,3.5,2.86,0.29,0.11,0.07,0.06,0.04,18.32,6.95,4.42,3.79,2.53,81.5,88.45,92.87,96.66,99.19
"Australia",1922,0,65.11,"Women",16.74,6.69,4.24,3.25,2.69,0.26,0.1,0.06,0.05,0.04,16.93,6.51,3.91,3.26,2.6,82.04,88.55,92.46,95.72,98.32
"Australia",1923,0,63.66,"Women",17.1,6.6,4.03,3.03,2.47,0.27,0.1,0.06,0.05,0.04,17.19,6.37,3.82,3.18,2.55,80.85,87.22,91.04,94.22,96.77
"Australia",1924,0,64.51,"Women",17.1,6.69,4.14,3.14,2.58,0.26,0.1,0.06,0.05,0.04,16.77,6.45,3.87,3.23,2.58,81.28,87.73,91.6,94.83,97.41
"Australia",1925,0,65.38,"Women",16.74,6.74,4.33,3.35,2.77,0.25,0.1,0.07,0.05,0.04,16.34,6.54,4.58,3.27,2.62,81.72,88.26,92.84,96.11,98.73
"Australia",1926,0,65.07,"Women",16.73,6.74,4.29,3.28,2.7,0.26,0.1,0.07,0.05,0.04,16.92,6.51,4.55,3.25,2.6,81.99,88.5,93.05,96.3,98.9
"Australia",1927,0,64.85,"Women",16.75,6.56,4.07,3.08,2.53,0.26,0.1,0.06,0.05,0.04,16.86,6.48,3.89,3.24,2.59,81.71,88.19,92.08,95.32,97.91
"Australia",1928,0,64.72,"Women",16.87,6.57,4.02,3.01,2.45,0.26,0.1,0.06,0.05,0.04,16.83,6.47,3.88,3.24,2.59,81.55,88.02,91.9,95.14,97.73
"Australia",1929,0,65.39,"Women",16.33,6.37,3.92,2.93,2.38,0.25,0.1,0.06,0.04,0.04,16.35,6.54,3.92,2.62,2.62,81.74,88.28,92.2,94.82,97.44
"Australia",1930,0,66.9,"Women",16.26,6.48,4.1,3.11,2.54,0.24,0.1,0.06,0.05,0.04,16.06,6.69,4.01,3.35,2.68,82.96,89.65,93.66,97.01,99.69
"Australia",1931,0,67.33,"Women",15.57,6.33,4.06,3.09,2.54,0.23,0.09,0.06,0.05,0.04,15.49,6.06,4.04,3.37,2.69,82.82,88.88,92.92,96.29,98.98
"Australia",1932,0,67.6,"Women",15.48,6.22,3.92,2.96,2.41,0.23,0.09,0.06,0.04,0.04,15.55,6.08,4.06,2.7,2.7,83.15,89.23,93.29,95.99,98.69
"Australia",1933,0,67.46,"Women",15.36,6.13,3.85,2.89,2.36,0.23,0.09,0.06,0.04,0.03,15.52,6.07,4.05,2.7,2.02,82.98,89.05,93.1,95.8,97.82
"Australia",1934,0,66.69,"Women",15.72,6.33,4.03,3.07,2.52,0.23,0.09,0.06,0.05,0.04,15.34,6,4,3.33,2.67,82.03,88.03,92.03,95.36,98.03
"Australia",1935,0,67.17,"Women",15.35,6.19,3.95,3.01,2.47,0.23,0.09,0.06,0.04,0.04,15.45,6.05,4.03,2.69,2.69,82.62,88.67,92.7,95.39,98.08
"Australia",1936,0,67.2,"Women",15.68,6.35,4.05,3.06,2.5,0.23,0.09,0.06,0.05,0.04,15.46,6.05,4.03,3.36,2.69,82.66,88.71,92.74,96.1,98.79
"Australia",1937,0,67.96,"Women",15.12,6.15,3.96,3.01,2.47,0.22,0.09,0.06,0.04,0.04,14.95,6.12,4.08,2.72,2.72,82.91,89.03,93.11,95.83,98.55
