"country","Year","Age","ex","Sex","edagg_1","edagg_2","edagg_3","edagg_4","edagg_5","H_1","H_2","H_3","H_4","H_5","gain_1","gain_2","gain_3","gain_4","gain_5","span_1","span_2","span_3","span_4","span_5"
"Australia",1938,0,67.93,"Women",14.95,6.08,3.92,3,2.47,0.22,0.09,0.06,0.04,0.04,14.94,6.11,4.08,2.72,2.72,82.87,88.98,93.06,95.78,98.5
"Australia",1939,0,68.06,"Women",14.63,5.85,3.71,2.8,2.28,0.21,0.09,0.05,0.04,0.03,14.29,6.13,3.4,2.72,2.04,82.35,88.48,91.88,94.6,96.64
"Australia",1940,0,68.64,"Women",14.74,6.06,3.93,3,2.46,0.21,0.09,0.06,0.04,0.04,14.41,6.18,4.12,2.75,2.75,83.05,89.23,93.35,96.1,98.85
"Australia",1941,0,68.23,"Women",14.65,5.95,3.83,2.91,2.38,0.21,0.09,0.06,0.04,0.03,14.33,6.14,4.09,2.73,2.05,82.56,88.7,92.79,95.52,97.57
"Australia",1942,0,67.89,"Women",14.6,5.91,3.79,2.86,2.33,0.21,0.09,0.06,0.04,0.03,14.26,6.11,4.07,2.72,2.04,82.15,88.26,92.33,95.05,97.09
"Australia",1943,0,68.25,"Women",14.51,5.86,3.74,2.83,2.3,0.21,0.09,0.05,0.04,0.03,14.33,6.14,3.41,2.73,2.05,82.58,88.72,92.13,94.86,96.91
"Australia",1944,0,69.79,"Women",13.95,5.85,3.82,2.92,2.39,0.2,0.08,0.05,0.04,0.03,13.96,5.58,3.49,2.79,2.09,83.75,89.33,92.82,95.61,97.7
"Australia",1945,0,70.28,"Women",13.65,5.78,3.83,2.95,2.43,0.19,0.08,0.05,0.04,0.03,13.35,5.62,3.51,2.81,2.11,83.63,89.25,92.76,95.57,97.68
"Australia",1946,0,70.15,"Women",13.58,5.72,3.78,2.91,2.4,0.19,0.08,0.05,0.04,0.03,13.33,5.61,3.51,2.81,2.1,83.48,89.09,92.6,95.41,97.51
"Australia",1947,0,70.96,"Women",13.29,5.64,3.71,2.85,2.34,0.19,0.08,0.05,0.04,0.03,13.48,5.68,3.55,2.84,2.13,84.44,90.12,93.67,96.51,98.64
"Australia",1948,0,71,"Women",12.9,5.53,3.66,2.82,2.32,0.18,0.08,0.05,0.04,0.03,12.78,5.68,3.55,2.84,2.13,83.78,89.46,93.01,95.85,97.98
"Australia",1949,0,71.78,"Women",12.86,5.62,3.76,2.9,2.39,0.18,0.08,0.05,0.04,0.03,12.92,5.74,3.59,2.87,2.15,84.7,90.44,94.03,96.9,99.05
"Australia",1950,0,71.72,"Women",12.68,5.45,3.62,2.77,2.28,0.18,0.08,0.05,0.04,0.03,12.91,5.74,3.59,2.87,2.15,84.63,90.37,93.96,96.83,98.98
"Australia",1951,0,71.59,"Women",12.7,5.45,3.63,2.79,2.29,0.18,0.08,0.05,0.04,0.03,12.89,5.73,3.58,2.86,2.15,84.48,90.21,93.79,96.65,98.8
"Australia",1952,0,72.04,"Women",12.55,5.43,3.61,2.79,2.3,0.17,0.07,0.05,0.04,0.03,12.25,5.04,3.6,2.88,2.16,84.29,89.33,92.93,95.81,97.97
"Australia",1953,0,72.56,"Women",12.43,5.39,3.59,2.76,2.28,0.17,0.07,0.05,0.04,0.03,12.34,5.08,3.63,2.9,2.18,84.9,89.98,93.61,96.51,98.69
"Australia",1954,0,72.79,"Women",12.27,5.39,3.62,2.8,2.31,0.17,0.07,0.05,0.04,0.03,12.37,5.1,3.64,2.91,2.18,85.16,90.26,93.9,96.81,98.99
"Australia",1955,0,73.25,"Women",12.14,5.34,3.58,2.76,2.27,0.16,0.07,0.05,0.04,0.03,11.72,5.13,3.66,2.93,2.2,84.97,90.1,93.76,96.69,98.89
"Australia",1956,0,73.05,"Women",11.98,5.28,3.57,2.77,2.28,0.16,0.07,0.05,0.04,0.03,11.69,5.11,3.65,2.92,2.19,84.74,89.85,93.5,96.42,98.61
"Australia",1957,0,73.46,"Women",12.09,5.34,3.61,2.8,2.32,0.16,0.07,0.05,0.04,0.03,11.75,5.14,3.67,2.94,2.2,85.21,90.35,94.02,96.96,99.16
"Australia",1958,0,74.02,"Women",12.03,5.36,3.63,2.82,2.33,0.16,0.07,0.05,0.04,0.03,11.84,5.18,3.7,2.96,2.22,85.86,91.04,94.74,97.7,99.92
"Australia",1959,0,73.74,"Women",11.93,5.23,3.5,2.7,2.23,0.16,0.07,0.05,0.04,0.03,11.8,5.16,3.69,2.95,2.21,85.54,90.7,94.39,97.34,99.55
"Australia",1960,0,74.05,"Women",11.99,5.31,3.58,2.78,2.31,0.16,0.07,0.05,0.04,0.03,11.85,5.18,3.7,2.96,2.22,85.9,91.08,94.78,97.74,99.96
"Australia",1961,0,74.52,"Women",11.86,5.31,3.59,2.77,2.29,0.16,0.07,0.05,0.04,0.03,11.92,5.22,3.73,2.98,2.24,86.44,91.66,95.39,98.37,100.61
"Australia",1962,0,74.29,"Women",11.85,5.3,3.58,2.76,2.28,0.16,0.07,0.05,0.04,0.03,11.89,5.2,3.71,2.97,2.23,86.18,91.38,95.09,98.06,100.29
"Australia",1963,0,74.3,"Women",11.92,5.31,3.57,2.76,2.28,0.16,0.07,0.05,0.04,0.03,11.89,5.2,3.71,2.97,2.23,86.19,91.39,95.1,98.07,100.3
"Australia",1964,0,73.97,"Women",11.85,5.32,3.61,2.81,2.32,0.16,0.07,0.05,0.04,0.03,11.84,5.18,3.7,2.96,2.22,85.81,90.99,94.69,97.65,99.87
"Australia",1965,0,74.24,"Women",11.92,5.36,3.63,2.81,2.32,0.16,0.07,0.05,0.04,0.03,11.88,5.2,3.71,2.97,2.23,86.12,91.32,95.03,98,100.23
"Australia",1966,0,74.07,"Women",11.77,5.28,3.56,2.76,2.3,0.16,0.07,0.05,0.04,0.03,11.85,5.18,3.7,2.96,2.22,85.92,91.1,94.8,97.76,99.98
"Australia",1967,0,74.56,"Women",11.86,5.37,3.63,2.81,2.31,0.16,0.07,0.05,0.04,0.03,11.93,5.22,3.73,2.98,2.24,86.49,91.71,95.44,98.42,100.66
"Australia",1968,0,74.23,"Women",11.7,5.2,3.49,2.7,2.23,0.16,0.07,0.05,0.04,0.03,11.88,5.2,3.71,2.97,2.23,86.11,91.31,95.02,97.99,100.22
"Australia",1969,0,74.69,"Women",11.88,5.41,3.66,2.83,2.32,0.16,0.07,0.05,0.04,0.03,11.95,5.23,3.73,2.99,2.24,86.64,91.87,95.6,98.59,100.83
"Australia",1970,0,74.18,"Women",11.91,5.42,3.68,2.85,2.35,0.16,0.07,0.05,0.04,0.03,11.87,5.19,3.71,2.97,2.23,86.05,91.24,94.95,97.92,100.15
"Australia",1971,0,74.9,"Women",11.76,5.3,3.59,2.78,2.28,0.16,0.07,0.05,0.04,0.03,11.98,5.24,3.75,3,2.25,86.88,92.12,95.87,98.87,101.12
"Australia",1972,0,75.31,"Women",11.63,5.27,3.58,2.77,2.29,0.15,0.07,0.05,0.04,0.03,11.3,5.27,3.77,3.01,2.26,86.61,91.88,95.65,98.66,100.92
"Australia",1973,0,75.71,"Women",11.5,5.22,3.55,2.75,2.27,0.15,0.07,0.05,0.04,0.03,11.36,5.3,3.79,3.03,2.27,87.07,92.37,96.16,99.19,101.46
"Australia",1974,0,75.5,"Women",11.39,5.12,3.45,2.67,2.22,0.15,0.07,0.05,0.04,0.03,11.32,5.28,3.78,3.02,2.27,86.82,92.1,95.88,98.9,101.17
"Australia",1975,0,76.41,"Women",11.5,5.27,3.58,2.77,2.27,0.15,0.07,0.05,0.04,0.03,11.46,5.35,3.82,3.06,2.29,87.87,93.22,97.04,100.1,102.39
"Australia",1976,0,76.41,"Women",11.23,5.09,3.44,2.67,2.21,0.15,0.07,0.04,0.03,0.03,11.46,5.35,3.06,2.29,2.29,87.87,93.22,96.28,98.57,100.86
"Australia",1977,0,77.06,"Women",11.28,5.19,3.54,2.75,2.26,0.15,0.07,0.05,0.04,0.03,11.56,5.39,3.85,3.08,2.31,88.62,94.01,97.86,100.94,103.25
"Australia",1978,0,77.33,"Women",11.3,5.21,3.55,2.75,2.25,0.15,0.07,0.05,0.04,0.03,11.6,5.41,3.87,3.09,2.32,88.93,94.34,98.21,101.3,103.62
"Australia",1979,0,77.99,"Women",11.05,5.09,3.47,2.69,2.21,0.14,0.06,0.04,0.03,0.03,10.92,4.68,3.12,2.34,2.34,88.91,93.59,96.71,99.05,101.39
"Australia",1980,0,78.22,"Women",10.94,5.08,3.48,2.7,2.21,0.14,0.06,0.04,0.03,0.03,10.95,4.69,3.13,2.35,2.35,89.17,93.86,96.99,99.34,101.69
"Australia",1981,0,78.43,"Women",10.89,5.06,3.45,2.67,2.19,0.14,0.06,0.04,0.03,0.03,10.98,4.71,3.14,2.35,2.35,89.41,94.12,97.26,99.61,101.96
"Australia",1982,0,78.29,"Women",10.74,4.92,3.34,2.6,2.14,0.14,0.06,0.04,0.03,0.03,10.96,4.7,3.13,2.35,2.35,89.25,93.95,97.08,99.43,101.78
"Australia",1983,0,78.82,"Women",10.91,5.1,3.47,2.69,2.19,0.14,0.06,0.04,0.03,0.03,11.03,4.73,3.15,2.36,2.36,89.85,94.58,97.73,100.09,102.45
"Australia",1984,0,78.84,"Women",10.76,5.01,3.42,2.65,2.17,0.14,0.06,0.04,0.03,0.03,11.04,4.73,3.15,2.37,2.37,89.88,94.61,97.76,100.13,102.5
"Australia",1985,0,78.67,"Women",10.62,4.9,3.36,2.61,2.15,0.13,0.06,0.04,0.03,0.03,10.23,4.72,3.15,2.36,2.36,88.9,93.62,96.77,99.13,101.49
"Australia",1986,0,79.31,"Women",10.63,4.96,3.39,2.63,2.15,0.13,0.06,0.04,0.03,0.03,10.31,4.76,3.17,2.38,2.38,89.62,94.38,97.55,99.93,102.31
"Australia",1987,0,79.34,"Women",10.53,4.87,3.32,2.57,2.12,0.13,0.06,0.04,0.03,0.03,10.31,4.76,3.17,2.38,2.38,89.65,94.41,97.58,99.96,102.34
"Australia",1988,0,79.6,"Women",10.51,4.91,3.37,2.62,2.14,0.13,0.06,0.04,0.03,0.03,10.35,4.78,3.18,2.39,2.39,89.95,94.73,97.91,100.3,102.69
"Australia",1989,0,79.38,"Women",10.27,4.69,3.19,2.49,2.07,0.13,0.06,0.04,0.03,0.03,10.32,4.76,3.18,2.38,2.38,89.7,94.46,97.64,100.02,102.4
"Australia",1990,0,80.15,"Women",10.37,4.82,3.29,2.55,2.08,0.13,0.06,0.04,0.03,0.03,10.42,4.81,3.21,2.4,2.4,90.57,95.38,98.59,100.99,103.39
"Australia",1991,0,80.49,"Women",10.31,4.83,3.3,2.55,2.08,0.13,0.06,0.04,0.03,0.03,10.46,4.83,3.22,2.41,2.41,90.95,95.78,99,101.41,103.82
"Australia",1992,0,80.48,"Women",10.22,4.79,3.28,2.54,2.08,0.13,0.06,0.04,0.03,0.03,10.46,4.83,3.22,2.41,2.41,90.94,95.77,98.99,101.4,103.81
"Australia",1993,0,80.99,"Women",10.14,4.77,3.26,2.53,2.06,0.12,0.06,0.04,0.03,0.03,9.72,4.86,3.24,2.43,2.43,90.71,95.57,98.81,101.24,103.67
"Australia",1994,0,80.82,"Women",10,4.66,3.18,2.48,2.04,0.12,0.06,0.04,0.03,0.03,9.7,4.85,3.23,2.42,2.42,90.52,95.37,98.6,101.02,103.44
"Australia",1995,0,81.13,"Women",10.01,4.64,3.16,2.45,2.02,0.12,0.06,0.04,0.03,0.02,9.74,4.87,3.25,2.43,1.62,90.87,95.74,98.99,101.42,103.04
"Australia",1996,0,81.26,"Women",9.91,4.58,3.12,2.43,2,0.12,0.06,0.04,0.03,0.02,9.75,4.88,3.25,2.44,1.63,91.01,95.89,99.14,101.58,103.21
"Australia",1997,0,81.38,"Women",9.86,4.52,3.08,2.4,1.97,0.12,0.06,0.04,0.03,0.02,9.77,4.88,3.26,2.44,1.63,91.15,96.03,99.29,101.73,103.36
"Australia",1998,0,81.86,"Women",9.86,4.54,3.09,2.4,1.97,0.12,0.06,0.04,0.03,0.02,9.82,4.91,3.27,2.46,1.64,91.68,96.59,99.86,102.32,103.96
"Australia",1999,0,82.04,"Women",9.8,4.51,3.08,2.4,1.97,0.12,0.05,0.04,0.03,0.02,9.84,4.1,3.28,2.46,1.64,91.88,95.98,99.26,101.72,103.36
"Australia",2000,0,82.27,"Women",9.68,4.4,3,2.33,1.92,0.12,0.05,0.04,0.03,0.02,9.87,4.11,3.29,2.47,1.65,92.14,96.25,99.54,102.01,103.66
"Australia",2001,0,82.61,"Women",9.6,4.44,3.04,2.36,1.94,0.12,0.05,0.04,0.03,0.02,9.91,4.13,3.3,2.48,1.65,92.52,96.65,99.95,102.43,104.08
"Australia",2002,0,82.54,"Women",9.53,4.37,2.98,2.33,1.92,0.11,0.05,0.04,0.03,0.02,9.08,4.13,3.3,2.48,1.65,91.62,95.75,99.05,101.53,103.18
"Australia",2003,0,82.92,"Women",9.45,4.3,2.93,2.29,1.89,0.11,0.05,0.04,0.03,0.02,9.12,4.15,3.32,2.49,1.66,92.04,96.19,99.51,102,103.66
"Australia",2004,0,83.18,"Women",9.46,4.35,2.97,2.31,1.89,0.11,0.05,0.04,0.03,0.02,9.15,4.16,3.33,2.5,1.66,92.33,96.49,99.82,102.32,103.98
"Australia",2005,0,83.49,"Women",9.4,4.31,2.95,2.3,1.88,0.11,0.05,0.04,0.03,0.02,9.18,4.17,3.34,2.5,1.67,92.67,96.84,100.18,102.68,104.35
"Australia",2006,0,83.59,"Women",9.31,4.24,2.9,2.26,1.86,0.11,0.05,0.03,0.03,0.02,9.19,4.18,2.51,2.51,1.67,92.78,96.96,99.47,101.98,103.65
"Australia",2007,0,83.55,"Women",9.26,4.2,2.86,2.23,1.84,0.11,0.05,0.03,0.03,0.02,9.19,4.18,2.51,2.51,1.67,92.74,96.92,99.43,101.94,103.61
"Australia",2008,0,83.73,"Women",9.09,4.12,2.81,2.2,1.82,0.11,0.05,0.03,0.03,0.02,9.21,4.19,2.51,2.51,1.67,92.94,97.13,99.64,102.15,103.82
"Australia",2009,0,84.03,"Women",9.19,4.16,2.83,2.21,1.82,0.11,0.05,0.03,0.03,0.02,9.24,4.2,2.52,2.52,1.68,93.27,97.47,99.99,102.51,104.19
"Australia",2010,0,84.23,"Women",9.09,4.12,2.81,2.2,1.81,0.11,0.05,0.03,0.03,0.02,9.27,4.21,2.53,2.53,1.68,93.5,97.71,100.24,102.77,104.45
"Australia",2011,0,84.29,"Women",9.06,4.08,2.78,2.17,1.79,0.11,0.05,0.03,0.03,0.02,9.27,4.21,2.53,2.53,1.69,93.56,97.77,100.3,102.83,104.52
"Australia",2012,0,84.35,"Women",8.97,4.07,2.78,2.17,1.79,0.11,0.05,0.03,0.03,0.02,9.28,4.22,2.53,2.53,1.69,93.63,97.85,100.38,102.91,104.6
"Australia",2013,0,84.67,"Women",9.09,4.13,2.82,2.2,1.8,0.11,0.05,0.03,0.03,0.02,9.31,4.23,2.54,2.54,1.69,93.98,98.21,100.75,103.29,104.98
"Australia",2014,0,84.54,"Women",9.04,4.08,2.78,2.16,1.78,0.11,0.05,0.03,0.03,0.02,9.3,4.23,2.54,2.54,1.69,93.84,98.07,100.61,103.15,104.84
"Australia",2015,0,84.68,"Women",8.97,4.07,2.77,2.16,1.78,0.11,0.05,0.03,0.03,0.02,9.31,4.23,2.54,2.54,1.69,93.99,98.22,100.76,103.3,104.99
"Australia",2016,0,84.91,"Women",8.97,4.06,2.77,2.16,1.77,0.11,0.05,0.03,0.03,0.02,9.34,4.25,2.55,2.55,1.7,94.25,98.5,101.05,103.6,105.3
"Australia",2017,0,84.81,"Women",9.01,4.08,2.78,2.16,1.77,0.11,0.05,0.03,0.03,0.02,9.33,4.24,2.54,2.54,1.7,94.14,98.38,100.92,103.46,105.16
"Australia",2018,0,85.37,"Women",9.04,4.12,2.8,2.17,1.76,0.11,0.05,0.03,0.03,0.02,9.39,4.27,2.56,2.56,1.71,94.76,99.03,101.59,104.15,105.86
"Australia",2019,0,85.37,"Women",9,4.09,2.79,2.16,1.75,0.1,0.05,0.03,0.03,0.02,8.54,4.27,2.56,2.56,1.71,93.91,98.18,100.74,103.3,105.01
"Austria",1947,0,64.01,"Women",17.09,6.26,3.81,2.9,2.39,0.26,0.1,0.06,0.04,0.04,16.64,6.4,3.84,2.56,2.56,80.65,87.05,90.89,93.45,96.01
"Austria",1948,0,65.77,"Women",16.49,6.19,3.89,3,2.49,0.25,0.09,0.06,0.05,0.04,16.44,5.92,3.95,3.29,2.63,82.21,88.13,92.08,95.37,98
"Austria",1949,0,65.77,"Women",15.74,5.91,3.73,2.86,2.37,0.24,0.09,0.06,0.04,0.04,15.78,5.92,3.95,2.63,2.63,81.55,87.47,91.42,94.05,96.68
"Austria",1950,0,67.28,"Women",15.13,5.86,3.78,2.92,2.42,0.22,0.09,0.06,0.04,0.04,14.8,6.06,4.04,2.69,2.69,82.08,88.14,92.18,94.87,97.56
"Austria",1951,0,67.81,"Women",14.34,5.44,3.46,2.64,2.18,0.21,0.08,0.05,0.04,0.03,14.24,5.42,3.39,2.71,2.03,82.05,87.47,90.86,93.57,95.6
"Austria",1952,0,69.23,"Women",13.72,5.42,3.57,2.78,2.31,0.2,0.08,0.05,0.04,0.03,13.85,5.54,3.46,2.77,2.08,83.08,88.62,92.08,94.85,96.93
"Austria",1953,0,69.71,"Women",13.44,5.32,3.5,2.71,2.25,0.19,0.08,0.05,0.04,0.03,13.24,5.58,3.49,2.79,2.09,82.95,88.53,92.02,94.81,96.9
"Austria",1954,0,69.88,"Women",13.38,5.27,3.46,2.7,2.25,0.19,0.07,0.05,0.04,0.03,13.28,4.89,3.49,2.8,2.1,83.16,88.05,91.54,94.34,96.44
"Austria",1955,0,70.36,"Women",13.2,5.26,3.46,2.68,2.22,0.19,0.07,0.05,0.04,0.03,13.37,4.93,3.52,2.81,2.11,83.73,88.66,92.18,94.99,97.1
"Austria",1956,0,70.54,"Women",13.02,5.2,3.43,2.67,2.22,0.18,0.07,0.05,0.04,0.03,12.7,4.94,3.53,2.82,2.12,83.24,88.18,91.71,94.53,96.65
"Austria",1957,0,70.51,"Women",13.08,5.25,3.48,2.69,2.22,0.18,0.07,0.05,0.04,0.03,12.69,4.94,3.53,2.82,2.12,83.2,88.14,91.67,94.49,96.61
"Austria",1958,0,71.37,"Women",12.84,5.21,3.48,2.71,2.26,0.18,0.07,0.05,0.04,0.03,12.85,5,3.57,2.85,2.14,84.22,89.22,92.79,95.64,97.78
"Austria",1959,0,71.39,"Women",12.84,5.22,3.5,2.74,2.28,0.18,0.07,0.05,0.04,0.03,12.85,5,3.57,2.86,2.14,84.24,89.24,92.81,95.67,97.81
"Austria",1960,0,71.9,"Women",12.42,5.08,3.39,2.64,2.21,0.17,0.07,0.05,0.04,0.03,12.22,5.03,3.6,2.88,2.16,84.12,89.15,92.75,95.63,97.79
"Austria",1961,0,72.77,"Women",12.21,5.14,3.48,2.73,2.28,0.17,0.07,0.05,0.04,0.03,12.37,5.09,3.64,2.91,2.18,85.14,90.23,93.87,96.78,98.96
"Austria",1962,0,72.48,"Women",12.07,5.02,3.38,2.63,2.18,0.17,0.07,0.05,0.04,0.03,12.32,5.07,3.62,2.9,2.17,84.8,89.87,93.49,96.39,98.56
"Austria",1963,0,72.66,"Women",11.97,5.04,3.41,2.67,2.23,0.16,0.07,0.05,0.04,0.03,11.63,5.09,3.63,2.91,2.18,84.29,89.38,93.01,95.92,98.1
"Austria",1964,0,73.19,"Women",11.94,5.1,3.47,2.73,2.28,0.16,0.07,0.05,0.04,0.03,11.71,5.12,3.66,2.93,2.2,84.9,90.02,93.68,96.61,98.81
"Austria",1965,0,72.99,"Women",11.69,4.98,3.38,2.64,2.19,0.16,0.07,0.05,0.04,0.03,11.68,5.11,3.65,2.92,2.19,84.67,89.78,93.43,96.35,98.54
"Austria",1966,0,73.34,"Women",11.76,5.04,3.43,2.69,2.24,0.16,0.07,0.05,0.04,0.03,11.73,5.13,3.67,2.93,2.2,85.07,90.2,93.87,96.8,99
"Austria",1967,0,73.37,"Women",11.51,4.96,3.37,2.64,2.21,0.16,0.07,0.05,0.04,0.03,11.74,5.14,3.67,2.93,2.2,85.11,90.25,93.92,96.85,99.05
"Austria",1968,0,73.52,"Women",11.45,4.95,3.36,2.63,2.2,0.15,0.07,0.05,0.04,0.03,11.03,5.15,3.68,2.94,2.21,84.55,89.7,93.38,96.32,98.53
"Austria",1969,0,73.27,"Women",11.53,5,3.37,2.61,2.16,0.16,0.07,0.05,0.04,0.03,11.72,5.13,3.66,2.93,2.2,84.99,90.12,93.78,96.71,98.91
"Austria",1970,0,73.42,"Women",11.48,4.98,3.38,2.64,2.21,0.16,0.07,0.05,0.04,0.03,11.75,5.14,3.67,2.94,2.2,85.17,90.31,93.98,96.92,99.12
"Austria",1971,0,73.67,"Women",11.37,4.87,3.3,2.58,2.15,0.15,0.07,0.04,0.03,0.03,11.05,5.16,2.95,2.21,2.21,84.72,89.88,92.83,95.04,97.25
"Austria",1972,0,74.02,"Women",11.44,4.97,3.4,2.67,2.22,0.15,0.07,0.05,0.04,0.03,11.1,5.18,3.7,2.96,2.22,85.12,90.3,94,96.96,99.18
"Austria",1973,0,74.57,"Women",11.26,4.88,3.33,2.61,2.18,0.15,0.07,0.04,0.03,0.03,11.19,5.22,2.98,2.24,2.24,85.76,90.98,93.96,96.2,98.44
"Austria",1974,0,74.62,"Women",11.23,4.9,3.36,2.64,2.21,0.15,0.07,0.04,0.04,0.03,11.19,5.22,2.98,2.98,2.24,85.81,91.03,94.01,96.99,99.23
"Austria",1975,0,74.7,"Women",11.01,4.77,3.23,2.53,2.11,0.15,0.06,0.04,0.03,0.03,11.2,4.48,2.99,2.24,2.24,85.9,90.38,93.37,95.61,97.85
"Austria",1976,0,75.06,"Women",10.74,4.71,3.21,2.52,2.11,0.14,0.06,0.04,0.03,0.03,10.51,4.5,3,2.25,2.25,85.57,90.07,93.07,95.32,97.57
"Austria",1977,0,75.44,"Women",10.82,4.81,3.3,2.6,2.18,0.14,0.06,0.04,0.03,0.03,10.56,4.53,3.02,2.26,2.26,86,90.53,93.55,95.81,98.07
"Austria",1978,0,75.65,"Women",10.5,4.68,3.21,2.53,2.12,0.14,0.06,0.04,0.03,0.03,10.59,4.54,3.03,2.27,2.27,86.24,90.78,93.81,96.08,98.35
"Austria",1979,0,75.97,"Women",10.63,4.71,3.22,2.53,2.13,0.14,0.06,0.04,0.03,0.03,10.64,4.56,3.04,2.28,2.28,86.61,91.17,94.21,96.49,98.77
"Austria",1980,0,76.04,"Women",10.56,4.68,3.19,2.51,2.1,0.14,0.06,0.04,0.03,0.03,10.65,4.56,3.04,2.28,2.28,86.69,91.25,94.29,96.57,98.85
"Austria",1981,0,76.38,"Women",10.35,4.65,3.19,2.51,2.09,0.13,0.06,0.04,0.03,0.03,9.93,4.58,3.06,2.29,2.29,86.31,90.89,93.95,96.24,98.53
"Austria",1982,0,76.58,"Women",10.41,4.69,3.23,2.54,2.13,0.14,0.06,0.04,0.03,0.03,10.72,4.59,3.06,2.3,2.3,87.3,91.89,94.95,97.25,99.55
"Austria",1983,0,76.59,"Women",10.28,4.62,3.17,2.48,2.07,0.13,0.06,0.04,0.03,0.03,9.96,4.6,3.06,2.3,2.3,86.55,91.15,94.21,96.51,98.81
"Austria",1984,0,77.18,"Women",10.32,4.66,3.2,2.52,2.1,0.13,0.06,0.04,0.03,0.03,10.03,4.63,3.09,2.32,2.32,87.21,91.84,94.93,97.25,99.57
"Austria",1985,0,77.3,"Women",10.09,4.57,3.15,2.47,2.07,0.13,0.06,0.04,0.03,0.03,10.05,4.64,3.09,2.32,2.32,87.35,91.99,95.08,97.4,99.72
"Austria",1986,0,77.65,"Women",10.08,4.59,3.17,2.49,2.08,0.13,0.06,0.04,0.03,0.03,10.09,4.66,3.11,2.33,2.33,87.74,92.4,95.51,97.84,100.17
"Austria",1987,0,78.03,"Women",10.02,4.56,3.14,2.47,2.06,0.13,0.06,0.04,0.03,0.03,10.14,4.68,3.12,2.34,2.34,88.17,92.85,95.97,98.31,100.65
"Austria",1988,0,78.52,"Women",9.89,4.56,3.15,2.47,2.07,0.13,0.06,0.04,0.03,0.03,10.21,4.71,3.14,2.36,2.36,88.73,93.44,96.58,98.94,101.3
