"country","Year_lab","Sex","1","2","3+","ex_diff"
"East Germany","1956-2000","Women",7.95715116678069,1.33857219621241,0.49596042631093,9.79168378930403
"East Germany","1956-2000","Men",6.53283345050692,0.652971398773736,0.133204806528188,7.31900965580884
"East Germany","2000-2017","Women",2.3997223035463,0.221964594870984,0.023333101581102,2.64501999999839
"East Germany","2000-2017","Men",3.48232243621768,0.390280669145045,0.0637368940664063,3.93633999942913
"West Germany","1956-2000","Women",7.81801091030699,1.60508396911346,0.751484134520931,10.1745790139414
"West Germany","1956-2000","Men",7.70706326323443,1.1484209639433,0.33767376560217,9.1931579927799
"West Germany","2000-2017","Women",2.04528332996036,0.151959376945472,0.013507293093784,2.21074999999962
"West Germany","2000-2017","Men",3.25779846646176,0.359391912539813,0.0532496208191067,3.67043999982068
